turkid,label_category,condition,memory_avg,memory_min,below_true_min,search_length,paid_price,excluded
R_1HiR4usyJNwt6mr,Colorado,Higher dispersion,0.0,140.0,1,1,340,No
R_3HRk3KuqMgaQuSz,Florida,Equal dispersion,560.0,260.0,0,6,320,No
R_wLcGIkVbNRAOWUF,Florida,Equal dispersion,600.0,240.0,0,1,340,No
R_2CH3syyu0mLOrcK,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_cSeK0tTbaJCPZGF,Colorado,Equal dispersion,0.0,380.0,0,1,340,Yes
R_VJ64jIDEeyRla9P,Florida,Higher dispersion,720.0,260.0,0,3,260,No
R_bEhSDCZd0ZqqfTP,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_PZOyMMxQvM9mKJP,Florida,Equal dispersion,640.0,260.0,0,3,260,No
R_32L27FNcD6QENuP,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_2CcW3bOyPni6KNf,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_2YsILg5QkhuvL89,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_2ZOBXv0rLSOPGCt,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_3q9fyXvg1gbevEZ,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_2dEnoUThCv3ns7u,Colorado,Higher dispersion,0.0,260.0,0,6,320,No
R_3Hh8qv5AWDDJp9G,Florida,Higher dispersion,600.0,220.0,1,3,260,No
R_3HC6ewoLmEP7q6S,Colorado,Equal dispersion,0.0,260.0,0,6,320,No
R_21I0wqwlQmRzLCG,Florida,Equal dispersion,560.0,260.0,0,6,320,No
R_07LTkFpctgoxCh3,Colorado,Higher dispersion,0.0,310.0,0,1,340,No
R_3NCgwEEI3hraLwP,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_31zKJMHpQktv1uI,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_30ouw6XwitMZKmu,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_1hG7ZXADCT2sK9D,Florida,Equal dispersion,600.0,230.0,1,3,260,No
R_0drIX6yMZBdl3eV,Colorado,Higher dispersion,0.0,160.0,1,3,260,No
R_1gTOEemzQkP38sP,Florida,Higher dispersion,800.0,500.0,0,1,340,Yes
R_3PBnpD2fHeEO6DE,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_1CEnIN2fuidJPr7,Florida,Higher dispersion,580.0,180.0,1,3,260,No
R_2TFqipPqTYowT1f,Florida,Higher dispersion,680.0,260.0,0,6,320,No
R_1IQ4sbbB7f9JEVA,Colorado,Higher dispersion,0.0,180.0,1,3,260,No
R_57rENaXiehiy6AN,Florida,Higher dispersion,600.0,260.0,0,3,260,No
R_3e8nQC14ZsGuQLS,Florida,Equal dispersion,600.0,275.0,0,3,260,No
R_1igPYGjAhLvxocD,Colorado,Higher dispersion,0.0,200.0,1,2,320,No
R_ZvEiWfqbwuitTj3,Colorado,Higher dispersion,0.0,180.0,1,6,320,No
R_9TbZQ1qJFBimJtD,Florida,Equal dispersion,640.0,280.0,0,1,340,No
R_2zu0BmoAg3WseAJ,Florida,Equal dispersion,560.0,240.0,0,3,260,No
R_3ltYsVfnE8SjSC0,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_TtEXHCBhA5e75Zf,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_1NlU5TkIzKaszz2,Colorado,Higher dispersion,0.0,160.0,1,1,340,No
R_3gS34s1JkMOcJss,Colorado,Higher dispersion,0.0,240.0,0,3,260,No
R_2uHEQgYDuqj1KMZ,Colorado,Equal dispersion,0.0,200.0,1,3,260,No
R_2ffDJP8f7wZHJNP,Florida,Higher dispersion,700.0,300.0,0,1,340,No
R_1gzI1vKcD9tV397,Florida,Higher dispersion,640.0,260.0,0,3,260,No
R_1qaY7uRxVGqbV1n,Colorado,Equal dispersion,0.0,260.0,0,2,320,No
R_2rTvMLFfv4gREfj,Florida,Higher dispersion,960.0,340.0,0,1,340,Yes
R_tS648XSPMGmug25,Colorado,Equal dispersion,0.0,260.0,0,3,260,No
R_1Ksf9SrC8KcOmCL,Florida,Higher dispersion,600.0,260.0,0,3,260,No
R_1I4bRL5fTZzHRPp,Florida,Equal dispersion,640.0,240.0,0,3,260,No
R_3R4LYS5q4LKld1T,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_2zdaHg94GaeWEST,Florida,Higher dispersion,640.0,240.0,0,3,260,No
R_sIlOiA8J6iwgfkt,Colorado,Equal dispersion,0.0,230.0,1,3,260,No
R_plxRDjooSNIXHep,Florida,Higher dispersion,600.0,260.0,0,3,260,No
R_3et5xfmNYdTk8nI,Colorado,Higher dispersion,0.0,140.0,1,3,260,No
R_2a8YLxRnZ1OLZNh,Florida,Equal dispersion,600.0,240.0,0,1,340,No
R_pE5lprRX0vm7DJD,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_1mFa2f1w2z4gv5t,Florida,Equal dispersion,680.0,260.0,0,6,320,No
R_2z8wBslcmTzUVGz,Colorado,Higher dispersion,0.0,260.0,0,3,260,No
R_3EgN4LqFAN9uT58,Florida,Higher dispersion,640.0,180.0,1,6,320,No
R_31zadzyTS9p6UWf,Florida,Equal dispersion,680.0,240.0,0,3,260,No
R_3n1Qn50g4tHBmoi,Florida,Equal dispersion,600.0,260.0,0,3,260,No
R_1N23bFz6swrDjz5,Florida,Higher dispersion,640.0,240.0,0,3,260,No
R_2qlNP9KbZKW8XLq,Florida,Equal dispersion,580.0,220.0,1,3,260,No
R_3G807zH5MtYnbYr,Colorado,Equal dispersion,0.0,240.0,0,3,260,No
R_29oa8bCIytNoSCg,Florida,Higher dispersion,600.0,240.0,0,3,260,No
R_soDfelicIiZJC6Z,Florida,Equal dispersion,600.0,240.0,0,3,260,No
R_2Ptkx1rzArZYoWi,Colorado,Equal dispersion,0.0,200.0,1,3,260,No
R_vODJWR7It32YMeJ,Colorado,Equal dispersion,0.0,280.0,0,2,320,No
R_2wuz9dlvi9sxNbB,Florida,Higher dispersion,600.0,180.0,1,3,260,No
R_1HobB0VXVRSVNVz,Florida,Higher dispersion,720.0,280.0,0,2,320,No
R_3Lhk5uqfklQZM3C,Florida,Equal dispersion,620.0,260.0,0,3,260,No
R_1IFS1wyUuoaXvLS,Florida,Equal dispersion,580.0,240.0,0,3,260,No
R_xEkkS4LwwskdI1H,Florida,Higher dispersion,1200.0,400.0,0,1,340,Yes
