startdate,enddate,bonusamount,workerid,box_opened,bonusamountnumeric,memory_max,memory_max_recoded,condition,label_category,excluded,excluded_if_recoded
16/07/2019 21:56,16/07/2019 21:59,32¢,A1GGKP0LP186UZ,5,32.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 21:56,16/07/2019 21:59,38¢,A37VKYP96LOBHR,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:55,16/07/2019 21:59,30¢,A35VA8NSI67Q8,1,30.0,50.0,50.0,Higher dispersion,Blue,No,No
16/07/2019 21:57,16/07/2019 21:59,30¢,APTRSRI3YDLPT,1,30.0,50.0,50.0,Higher dispersion,Blue,No,No
16/07/2019 21:57,16/07/2019 22:00,38¢,A13YJ84HZS9AFN,2,38.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 21:56,16/07/2019 22:00,38¢,A2ELYTGQYWVGBG,2,38.0,40.0,40.0,Higher dispersion,Blue,No,No
16/07/2019 21:57,16/07/2019 22:00,38¢,A1607IO36GP5WZ,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:58,16/07/2019 22:00,32¢,A3JQOBSFU6L5IG,5,32.0,40.0,40.0,Equal dispersion,Red,No,No
16/07/2019 21:58,16/07/2019 22:00,32¢,A2AR512S7QQPK4,5,32.0,50.0,50.0,Higher dispersion,Blue,No,No
16/07/2019 21:57,16/07/2019 22:00,32¢,A2Q74XDSMJ4EKN,5,32.0,38.0,38.0,Equal dispersion,Red,No,No
16/07/2019 21:58,16/07/2019 22:00,38¢,A3OG630PTXXST8,2,38.0,40.0,40.0,Equal dispersion,Blue,No,No
16/07/2019 21:56,16/07/2019 22:01,38¢,AAFDX7DLOEUJ0,2,38.0,0.38,38.0,Equal dispersion,Red,Yes,No
16/07/2019 21:58,16/07/2019 22:01,38¢,AMFBEB0K2PHLO,2,38.0,36.0,36.0,Equal dispersion,Red,No,No
16/07/2019 21:58,16/07/2019 22:01,38¢,A1ZOSNWNBTSYOZ,2,38.0,43.0,43.0,Equal dispersion,Blue,No,No
16/07/2019 21:58,16/07/2019 22:02,32¢,A1CKLUXKT9OE0L,5,32.0,38.0,38.0,Higher dispersion,Red,No,No
16/07/2019 21:58,16/07/2019 22:02,32¢,A16ZTBUNAU2Y0L,5,32.0,42.0,42.0,Higher dispersion,Blue,No,No
16/07/2019 21:59,16/07/2019 22:02,30¢,A2K1358IDJ4ZSF,1,30.0,0.43,43.0,Higher dispersion,Blue,Yes,No
