turkid,label_category,condition,memory_avg,memory_min,below_true_min,picklikelihood_1,picklikelihood_2,picklikelihood_3,picklikelihood_4,picklikelihood_5
R_2P7k97SgVKc3B6n,Colorado,Higher dispersion,300.0,240.0,0,1.0,1.0,2.0,3.0,3.0
R_3NOEOFvAt5YjXhX,Florida,Equal dispersion,300.0,260.0,0,2.0,3.0,3.0,3.0,3.0
R_xo90vuN2NKla5IB,Colorado,Higher dispersion,300.0,140.0,1,-1.0,-1.0,-1.0,-2.0,-3.0
R_2dQPvbUAtc6PMWt,Florida,Higher dispersion,300.0,140.0,1,-1.0,-1.0,1.0,2.0,2.0
R_oYoma7G2UmZCDZv,Colorado,Equal dispersion,340.0,280.0,0,2.0,3.0,3.0,3.0,3.0
R_1gc4WyFh4jO7Rqf,Florida,Equal dispersion,340.0,240.0,0,2.0,1.0,2.0,3.0,3.0
R_da89UHOoqc2Iodr,Florida,Equal dispersion,325.0,240.0,0,-1.0,-1.0,2.0,3.0,3.0
R_wZYSgWnctynI90J,Florida,Equal dispersion,320.0,260.0,0,-2.0,3.0,3.0,3.0,3.0
R_1F8PoYFpX5I3JkN,Colorado,Equal dispersion,320.0,240.0,0,2.0,2.0,3.0,3.0,3.0
R_1DNlSkY07DzPbae,Colorado,Higher dispersion,350.0,300.0,0,1.0,1.0,2.0,2.0,2.0
R_3IVIvRY0SeY9pEJ,Colorado,Equal dispersion,320.0,240.0,0,3.0,3.0,3.0,3.0,3.0
R_3G0PscaSkNGyn0V,Florida,Higher dispersion,280.0,140.0,1,1.0,-2.0,-1.0,1.0,3.0
R_2PBv9GCGQxMMWRF,Florida,Higher dispersion,280.0,220.0,1,-1.0,1.0,3.0,3.0,3.0
R_2y25xkI4Bjbbpa5,Colorado,Equal dispersion,300.0,240.0,0,-3.0,-3.0,-1.0,0.0,1.0
R_3fBtY8dj82pmA6Y,Colorado,Equal dispersion,330.0,260.0,0,2.0,3.0,3.0,3.0,3.0
R_2atXdPxIIZeAg9k,Florida,Equal dispersion,340.0,280.0,0,2.0,3.0,3.0,3.0,3.0
R_6XVlo9glWsZdYTT,Colorado,Higher dispersion,300.0,180.0,1,1.0,1.0,1.0,1.0,1.0
R_1k1fde10ar6ge0E,Colorado,Equal dispersion,280.0,240.0,0,1.0,1.0,2.0,3.0,3.0
R_Ox2bqmF5OEuMOGd,Colorado,Equal dispersion,340.0,280.0,0,1.0,1.0,1.0,2.0,2.0
R_2TBsNGEGHL9liLw,Colorado,Equal dispersion,320.0,200.0,1,2.0,2.0,3.0,3.0,3.0
R_3JDVEIk08IUBioK,Florida,Equal dispersion,320.0,280.0,0,2.0,3.0,3.0,3.0,3.0
R_3kFzztSnFkjNv3p,Florida,Higher dispersion,300.0,140.0,1,-1.0,-1.0,-1.0,-1.0,1.0
R_ZgbmD2TGySBiQJH,Colorado,Higher dispersion,320.0,240.0,0,-1.0,0.0,1.0,2.0,3.0
R_1pKicFLC5bONVo2,Colorado,Equal dispersion,320.0,240.0,0,-1.0,1.0,3.0,3.0,3.0
R_1QlvkVjwLqypxLT,Florida,Higher dispersion,260.0,140.0,1,-1.0,-1.0,-1.0,1.0,1.0
R_332S4A7J4RURhhJ,Colorado,Equal dispersion,310.0,260.0,0,-3.0,-3.0,-2.0,-2.0,-1.0
R_CjkABY5hYbbR4tz,Florida,Equal dispersion,320.0,240.0,0,3.0,3.0,3.0,3.0,3.0
R_cAPwZutWr8bgEQV,Florida,Equal dispersion,340.0,260.0,0,3.0,3.0,3.0,3.0,3.0
R_1dbPrnZtgFVKQkM,Florida,Equal dispersion,320.0,260.0,0,2.0,2.0,3.0,3.0,3.0
R_1jrzsJssZ4yGikA,Florida,Higher dispersion,325.0,200.0,1,2.0,2.0,3.0,3.0,3.0
R_1OrwblrXXtoS43u,Colorado,Higher dispersion,300.0,260.0,0,0.0,0.0,1.0,1.0,3.0
R_1KrGQB6mCuvm0kc,Colorado,Equal dispersion,320.0,260.0,0,1.0,3.0,3.0,3.0,3.0
R_3prR8JCNrQ0LzbI,Colorado,Equal dispersion,320.0,280.0,0,3.0,3.0,3.0,3.0,3.0
R_z6bxWgv4OAY8ajv,Colorado,Higher dispersion,320.0,240.0,0,-1.0,-1.0,-1.0,-1.0,1.0
R_28YRIGkOH8XSqul,Colorado,Equal dispersion,320.0,280.0,0,1.0,2.0,3.0,3.0,3.0
R_sSuPIASSWq1ftkZ,Florida,Equal dispersion,320.0,280.0,0,1.0,2.0,2.0,3.0,3.0
R_3dXEGFd5sfM3ual,Florida,Equal dispersion,300.0,240.0,0,-3.0,-1.0,-1.0,-1.0,-1.0
R_8iUBoZaVqbneLFn,Colorado,Higher dispersion,300.0,180.0,1,-1.0,1.0,1.0,2.0,3.0
R_e57OdlKaJk2P7ZT,Florida,Equal dispersion,340.0,240.0,0,-1.0,2.0,3.0,3.0,3.0
R_3dQQxKPATPQZVYZ,Florida,Equal dispersion,280.0,240.0,0,-1.0,-1.0,2.0,3.0,3.0
R_OI5iBbrpnDRU6qd,Colorado,Higher dispersion,340.0,280.0,0,3.0,3.0,3.0,2.0,3.0
R_WBTiXQxhucP0YA9,Florida,Equal dispersion,360.0,280.0,0,3.0,3.0,2.0,2.0,3.0
R_1Lptby7iBfiwiHd,Florida,Equal dispersion,300.0,280.0,0,2.0,2.0,1.0,3.0,3.0
R_24zEnzYMlCMmju1,Florida,Equal dispersion,310.0,260.0,0,-1.0,-2.0,-1.0,0.0,1.0
R_1IAG23hrwtF1kMN,Florida,Equal dispersion,280.0,240.0,0,1.0,2.0,3.0,3.0,3.0
R_37zbEBzlLDvj26J,Florida,Higher dispersion,340.0,300.0,0,3.0,3.0,3.0,3.0,3.0
R_ywp5qmwYg8jhUVb,Florida,Equal dispersion,290.0,240.0,0,-2.0,0.0,2.0,3.0,3.0
R_3PbCXEw3Sg5sWef,Florida,Higher dispersion,300.0,240.0,0,-1.0,-1.0,1.0,2.0,3.0
R_3mjHhb68HyFNyxF,Florida,Equal dispersion,275.0,260.0,0,1.0,1.0,1.0,2.0,3.0
R_1Fx0sVRbP4pjk0C,Colorado,Equal dispersion,320.0,260.0,0,1.0,2.0,3.0,3.0,3.0
R_1gbybe1r9ATgjz7,Colorado,Higher dispersion,320.0,260.0,0,-1.0,2.0,3.0,3.0,3.0
R_2TBOfiy9OqToWwm,Colorado,Equal dispersion,260.0,220.0,1,-3.0,-2.0,1.0,3.0,3.0
R_2ExUB5n9FrNwm17,Colorado,Equal dispersion,320.0,200.0,1,0.0,1.0,1.0,1.0,3.0
R_2VsUeiCnvfpSNz3,Colorado,Equal dispersion,320.0,260.0,0,1.0,2.0,3.0,3.0,3.0
R_1dz97e1pAQsWqFi,Colorado,Higher dispersion,280.0,120.0,1,-1.0,-2.0,-1.0,-1.0,3.0
R_1CeJ1t9GaHJoBjr,Florida,Higher dispersion,300.0,160.0,1,-1.0,-1.0,1.0,2.0,3.0
R_1pJNhwgrsZbQAps,Florida,Equal dispersion,330.0,280.0,0,0.0,1.0,2.0,3.0,3.0
R_24oZPg4YYJwE2JF,Colorado,Equal dispersion,350.0,240.0,0,2.0,3.0,3.0,3.0,3.0
R_2rpD9IjUwLbcUhj,Colorado,Equal dispersion,340.0,280.0,0,2.0,3.0,3.0,3.0,3.0
R_1FnXzi4U40kkZjO,Florida,Higher dispersion,320.0,240.0,0,1.0,1.0,2.0,3.0,3.0
R_3mdAkpE7eCJRdMR,Colorado,Higher dispersion,15.0,20.0,1,1.0,3.0,2.0,2.0,2.0
R_qVLGIqsf02Xh5ER,Florida,Higher dispersion,320.0,180.0,1,-3.0,-3.0,-3.0,-3.0,-3.0
R_3GEdQMxG6cYfTFs,Florida,Higher dispersion,260.0,200.0,1,-1.0,-1.0,-2.0,1.0,2.0
R_spT9z2Pb4VTFgHL,Florida,Higher dispersion,300.0,260.0,0,-3.0,-3.0,-3.0,-2.0,-1.0
R_2xEqhJxsMNNZKP4,Florida,Higher dispersion,280.0,120.0,1,1.0,1.0,1.0,1.0,2.0
R_30u9HMqmNkQb8aj,Florida,Equal dispersion,300.0,280.0,0,-1.0,1.0,1.0,1.0,3.0
R_40JbXa8lWfggI0h,Florida,Higher dispersion,400.0,180.0,1,-1.0,-1.0,-1.0,-1.0,1.0
R_24uBDUqAJ0ql8EL,Colorado,Equal dispersion,320.0,240.0,0,2.0,3.0,3.0,3.0,3.0
R_2QnQVA89hEcttYm,Florida,Equal dispersion,340.0,280.0,0,1.0,2.0,2.0,2.0,3.0
R_1iecdCy9GWBlFME,Colorado,Higher dispersion,400.0,280.0,0,2.0,2.0,2.0,3.0,3.0
R_2BwIfFNPs908Gne,Florida,Equal dispersion,300.0,260.0,0,1.0,3.0,3.0,3.0,3.0
R_12D3cutKmwjexDO,Florida,Equal dispersion,300.0,200.0,1,1.0,2.0,2.0,2.0,3.0
R_2VmD5Sdqx2Tjqy5,Colorado,Equal dispersion,300.0,200.0,1,1.0,1.0,3.0,3.0,3.0
R_Z9RkkxLBbUNeh57,Colorado,Higher dispersion,320.0,180.0,1,3.0,3.0,3.0,3.0,3.0
